0,1,Villanova,0.9976480336669125,0.833448235326217,0.6561148055914717,0.4889400926223977,0.2982504989474639,0.19531951323080834
1,16,Mount St. Mary's,0.0023519663330873186,0.00010876303591620527,3.54739161619659e-06,6.826291664871581e-08,7.351881641048825e-10,7.979471908632557e-12
2,8,Wisconsin,0.6918557926267423,0.14550288280192378,0.06985449523356392,0.030128474339663126,0.010273824872877917,0.0038021378804731607
3,9,Virginia Tech,0.30814420737325765,0.020940118835942698,0.006119799613550017,0.0015208731933987088,0.0002495283853827238,4.29791243791994e-05
4,5,Virginia,0.7295152783060852,0.4319753697326626,0.14275690210268566,0.07592712612913265,0.03068775803882886,0.013143979159608398
5,12,UNC-Wilmington,0.2704847216939148,0.09776512354803589,0.01354767141635367,0.0036808833641625133,0.0007132024747068698,0.0001451616323051263
6,4,Florida,0.7766291895818229,0.4136578490909299,0.10623476653229258,0.04775576812301681,0.01654032627066153,0.006110738864464052
7,13,ETSU,0.22337081041817713,0.056601657628371715,0.005368012118466006,0.0010854592544153423,0.0001551194700023105,2.320792825466349e-05
8,6,SMU,0.749327027434862,0.39465523477342945,0.17419579957404324,0.05590094346554229,0.020937221978191367,0.00850062199360503
9,11,USC,0.25067297256513793,0.06845791078863725,0.016247802108830752,0.0022456709639839183,0.0004430421340602641,9.462247135626031e-05
10,3,Baylor,0.8654000563438801,0.5075557800434913,0.22344117437512642,0.06949000441265218,0.02655745243623322,0.010952336313434459
11,14,New Mexico State,0.13459994365611994,0.029331074394441894,0.004838863712534038,0.00044787825157760464,5.986807823275042e-05,8.596668114081685e-06
12,7,South Carolina,0.5342334802297727,0.1476358202609967,0.05517221450800838,0.01080015909223727,0.00247309451477176,0.0005986946039488371
13,10,Marquette,0.4657665197702273,0.10692083797443487,0.03831928318031791,0.007020569756126224,0.0015514446634128233,0.00037385730248169763
14,2,Duke,0.9700782232389875,0.7410589244761561,0.48752433609973855,0.2051241380621002,0.09476214266862461,0.04692141684569827
15,15,Troy,0.029921776761012486,0.004384417288412363,0.0002605264414006565,6.521544024886369e-06,2.334498633729289e-07,8.585119312402123e-09
16,1,Gonzaga,0.9929923567848078,0.8770223048901052,0.6644201828440365,0.4919622788056667,0.30346707809363055,0.20358582535466188
17,16,South Dakota State,0.00700764321519215,0.0007863523651013379,4.1199781922369765e-05,1.4285317010003946e-06,2.347346372615504e-08,4.972613603928099e-10
18,8,Northwestern,0.5289082886611232,0.06214497346623782,0.02223694790310861,0.006759396421056509,0.001324585388332889,0.0002969731971730556
19,9,Vanderbilt,0.47109171133887684,0.06004636927855552,0.020803608286168743,0.006372193126043225,0.0012978297127841053,0.00029983645398062566
20,5,Notre Dame,0.6861482696858815,0.29242645570268055,0.07211806666084704,0.03096596480064362,0.009392426082784783,0.003109068977270604
21,12,Princeton,0.3138517303141185,0.08033510940112147,0.010907443899254169,0.0025714089331618393,0.00037771301708686204,6.503348676293215e-05
22,4,West Virginia,0.8391353149585401,0.5766938919029533,0.2049647532152598,0.11079319107473105,0.046701727451756485,0.020856940875501
23,13,Bucknell,0.1608646850414599,0.05054454299324469,0.0045077974094027045,0.0007686484686008955,7.411901182221657e-05,8.32061945461492e-06
24,6,Maryland,0.5105198499320858,0.20633814618762603,0.058231379142079646,0.011770983397265669,0.0024587619631859904,0.0005711727787322387
25,11,Xavier,0.4894801500679142,0.18611134483030092,0.04793189537704732,0.009065194124931373,0.0017877525234466357,0.00038449468644051026
26,3,Florida State,0.82894696815983,0.5588998613975863,0.23719287655222862,0.07279344784821651,0.0242798925227832,0.008656908750815054
27,14,Florida Gulf Coast,0.17105303184016996,0.0486506475844867,0.004819128194732061,0.00036121463383223464,2.6477081976520953e-05,2.2254841850885876e-06
28,7,St. Mary's,0.7256806308687571,0.3316348763548158,0.20776672180109973,0.07854988327474344,0.029693328899972112,0.012411069757014755
29,10,VCU,0.2743193691312429,0.06036256222291427,0.024221459280164906,0.00416074072906514,0.0007269039262452058,0.00014354542129058553
30,2,Arizona,0.9813002946501631,0.6068644826129146,0.419714475789602,0.17310045935999624,0.07481117415704387,0.036378774862820894
31,15,North Dakota,0.018699705349836893,0.0011380788093553803,0.00012206386304567033,3.5664703444835996e-06,7.841253022914104e-08,2.222189253121581e-09
32,1,Kansas,0.9983809219690633,0.8458210200213331,0.6413273733892391,0.45062816893251173,0.2737489805527031,0.1361719529689904
33,16,UC Davis,0.0016190780309366937,7.680671540286655e-05,2.2077261320747324e-06,4.8092043887347946e-08,7.714431923976415e-10,5.920436875755277e-12
34,8,Miami,0.5435141886903294,0.09660207981962592,0.038880750637261444,0.013604373181743235,0.0038295744853476883,0.000814900704849064
35,9,Michigan State,0.4564858113096706,0.05750009344363801,0.01989583255913731,0.005880124242766744,0.00137289324928672,0.00023107186004543145
36,5,Iowa State,0.6720973295176176,0.3298309764270355,0.10083007736410893,0.047115154275024974,0.018200342049467418,0.005297426587005129
37,12,Nevada,0.3279026704823825,0.10761103453417518,0.01802830399007463,0.0051492186497974265,0.001294323814586756,0.00023101306146249982
38,4,Purdue,0.755823048219633,0.474333358904287,0.16737043169475943,0.08689541808458685,0.037892553844916486,0.012719459061346423
39,13,Vermont,0.24417695178036702,0.08822463013450232,0.013665022639287044,0.0035748739384682438,0.0007193670594846384,0.00010004437297683607
40,6,Creighton,0.5562364175536679,0.216766262884313,0.07605914616189625,0.01947638860764912,0.005777380790150284,0.0011836926434929016
41,11,Rhode Island,0.44376358244633207,0.16094526795841696,0.04607487446324528,0.010499260157924895,0.002652753582470047,0.0004794648845602506
