2,16,Mount St. Mary's,East,63.44,377,304,3169,0.3221782487,0.3447179711
10,11,Providence,East,77.71,2210,250,3673,0.4269014204,0.3261999552
34,16,UC Davis,Midwest,64.15,2287,2348,1024,0.1916970267,0.3791942205
58,11,Wake Forest,South,79.48,3632,893,2921,0.1525853271,0.4761899679

10,11,Providence,East,77.71,2210,250,3673,0.4519501743,0.3261999552
